Precinct_name,Contest_title,candidate_name,Party_Code,total_votes
101,"PROP. 1, CONSTITUTIONAL AMENDMENT ELECTION",Against,,53
101,"PROP. 1, CONSTITUTIONAL AMENDMENT ELECTION",For,,180
101,"PROP. 2, CONSTITUTIONAL AMENDMENT ELECTION",Against,,21
101,"PROP. 2, CONSTITUTIONAL AMENDMENT ELECTION",For,,212
101,"PROP. 3, CONSTITUTIONAL AMENDMENT ELECTION",Against,,132
101,"PROP. 3, CONSTITUTIONAL AMENDMENT ELECTION",For,,104
101,"PROP. 4, CONSTITUTIONAL AMENDMENT ELECTION",Against,,91
101,"PROP. 4, CONSTITUTIONAL AMENDMENT ELECTION",For,,143
101,"PROP. 5, CONSTITUTIONAL AMENDMENT ELECTION",Against,,70
101,"PROP. 5, CONSTITUTIONAL AMENDMENT ELECTION",For,,165
101,"PROP. 6, CONSTITUTIONAL AMENDMENT ELECTION",Against,,93
101,"PROP. 6, CONSTITUTIONAL AMENDMENT ELECTION",For,,141
101,"PROP. 7, CONSTITUTIONAL AMENDMENT ELECTION",Against,,71
101,"PROP. 7, CONSTITUTIONAL AMENDMENT ELECTION",For,,166
101,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",Against,,129
101,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",For,,107
102,"PROP. 1, CONSTITUTIONAL AMENDMENT ELECTION",Against,,18
102,"PROP. 1, CONSTITUTIONAL AMENDMENT ELECTION",For,,55
102,"PROP. 2, CONSTITUTIONAL AMENDMENT ELECTION",Against,,13
102,"PROP. 2, CONSTITUTIONAL AMENDMENT ELECTION",For,,59
102,"PROP. 3, CONSTITUTIONAL AMENDMENT ELECTION",Against,,43
102,"PROP. 3, CONSTITUTIONAL AMENDMENT ELECTION",For,,29
102,"PROP. 4, CONSTITUTIONAL AMENDMENT ELECTION",Against,,37
102,"PROP. 4, CONSTITUTIONAL AMENDMENT ELECTION",For,,35
102,"PROP. 5, CONSTITUTIONAL AMENDMENT ELECTION",Against,,20
102,"PROP. 5, CONSTITUTIONAL AMENDMENT ELECTION",For,,52
102,"PROP. 6, CONSTITUTIONAL AMENDMENT ELECTION",Against,,35
102,"PROP. 6, CONSTITUTIONAL AMENDMENT ELECTION",For,,37
102,"PROP. 7, CONSTITUTIONAL AMENDMENT ELECTION",Against,,24
102,"PROP. 7, CONSTITUTIONAL AMENDMENT ELECTION",For,,49
102,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",Against,,39
102,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",For,,32
103,"PROP. 1, CONSTITUTIONAL AMENDMENT ELECTION",Against,,32
103,"PROP. 1, CONSTITUTIONAL AMENDMENT ELECTION",For,,189
103,"PROP. 2, CONSTITUTIONAL AMENDMENT ELECTION",Against,,22
103,"PROP. 2, CONSTITUTIONAL AMENDMENT ELECTION",For,,198
103,"PROP. 3, CONSTITUTIONAL AMENDMENT ELECTION",Against,,125
103,"PROP. 3, CONSTITUTIONAL AMENDMENT ELECTION",For,,92
103,"PROP. 4, CONSTITUTIONAL AMENDMENT ELECTION",Against,,110
103,"PROP. 4, CONSTITUTIONAL AMENDMENT ELECTION",For,,104
103,"PROP. 5, CONSTITUTIONAL AMENDMENT ELECTION",Against,,50
103,"PROP. 5, CONSTITUTIONAL AMENDMENT ELECTION",For,,167
103,"PROP. 6, CONSTITUTIONAL AMENDMENT ELECTION",Against,,76
103,"PROP. 6, CONSTITUTIONAL AMENDMENT ELECTION",For,,142
103,"PROP. 7, CONSTITUTIONAL AMENDMENT ELECTION",Against,,60
103,"PROP. 7, CONSTITUTIONAL AMENDMENT ELECTION",For,,160
103,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",Against,,118
103,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",For,,103
104,"PROP. 1, CONSTITUTIONAL AMENDMENT ELECTION",Against,,26
104,"PROP. 1, CONSTITUTIONAL AMENDMENT ELECTION",For,,125
104,"PROP. 2, CONSTITUTIONAL AMENDMENT ELECTION",Against,,19
104,"PROP. 2, CONSTITUTIONAL AMENDMENT ELECTION",For,,131
104,"PROP. 3, CONSTITUTIONAL AMENDMENT ELECTION",Against,,86
104,"PROP. 3, CONSTITUTIONAL AMENDMENT ELECTION",For,,64
104,"PROP. 4, CONSTITUTIONAL AMENDMENT ELECTION",Against,,65
104,"PROP. 4, CONSTITUTIONAL AMENDMENT ELECTION",For,,85
104,"PROP. 5, CONSTITUTIONAL AMENDMENT ELECTION",Against,,33
104,"PROP. 5, CONSTITUTIONAL AMENDMENT ELECTION",For,,117
104,"PROP. 6, CONSTITUTIONAL AMENDMENT ELECTION",Against,,51
104,"PROP. 6, CONSTITUTIONAL AMENDMENT ELECTION",For,,98
104,"PROP. 7, CONSTITUTIONAL AMENDMENT ELECTION",Against,,38
104,"PROP. 7, CONSTITUTIONAL AMENDMENT ELECTION",For,,113
104,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",Against,,70
104,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",For,,79
105,"COUNCIL MEMBER, PLACE 3, CITY OF PFLUGERVILLE",Omar Pena,,0
105,"COUNCIL MEMBER, PLACE 3, CITY OF PFLUGERVILLE",Phil Osars Emia,,0
105,"COUNCIL MEMBER, PLACE 5, CITY OF PFLUGERVILLE",Mike Heath,,0
105,"COUNCIL MEMBER, PLACE 5, CITY OF PFLUGERVILLE",Rudy Metayer,,0
105,"PROP. 1, CITY OF PFLUGERVILLE",Against,,0
105,"PROP. 1, CITY OF PFLUGERVILLE",For,,0
105,"PROP. 1, CONSTITUTIONAL AMENDMENT ELECTION",Against,,73
105,"PROP. 1, CONSTITUTIONAL AMENDMENT ELECTION",For,,339
