Precinct_name,candidate_name,Contest_title,Sum of total_votes
101,DeWayne Lofton,"DISTRICT 1, AUSTIN CITY COUNCIL, CITY OF AUSTIN",16
101,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",114
101,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",54
101,Mike Martinez,"MAYOR, CITY OF AUSTIN",30
101,Ora Houston,"DISTRICT 1, AUSTIN CITY COUNCIL, CITY OF AUSTIN",47
101,Steve Adler,"MAYOR, CITY OF AUSTIN",33
102,DeWayne Lofton,"DISTRICT 1, AUSTIN CITY COUNCIL, CITY OF AUSTIN",29
102,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",38
102,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",39
102,Mike Martinez,"MAYOR, CITY OF AUSTIN",29
102,Ora Houston,"DISTRICT 1, AUSTIN CITY COUNCIL, CITY OF AUSTIN",56
102,Steve Adler,"MAYOR, CITY OF AUSTIN",58
103,"David ""D"" Thompson","DISTRICT 1, SINGLE MEMBER TRUSTEE, AISD",101
103,DeWayne Lofton,"DISTRICT 1, AUSTIN CITY COUNCIL, CITY OF AUSTIN",91
103,Edmund T. Gordon,"DISTRICT 1, SINGLE MEMBER TRUSTEE, AISD",93
103,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",129
103,Hillary Procknow,"AT LARGE POSITION 9, AISD",56
103,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",82
103,Kendall Pace,"AT LARGE POSITION 9, AISD",134
103,Mike Martinez,"MAYOR, CITY OF AUSTIN",69
103,Ora Houston,"DISTRICT 1, AUSTIN CITY COUNCIL, CITY OF AUSTIN",153
103,Steve Adler,"MAYOR, CITY OF AUSTIN",185
104,"David ""D"" Thompson","DISTRICT 1, SINGLE MEMBER TRUSTEE, AISD",103
104,DeWayne Lofton,"DISTRICT 1, AUSTIN CITY COUNCIL, CITY OF AUSTIN",76
104,Edmund T. Gordon,"DISTRICT 1, SINGLE MEMBER TRUSTEE, AISD",89
104,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",101
104,Hillary Procknow,"AT LARGE POSITION 9, AISD",74
104,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",91
104,Kendall Pace,"AT LARGE POSITION 9, AISD",112
104,Mike Martinez,"MAYOR, CITY OF AUSTIN",78
