"Precinct_name","Contest_title","candidate_name","Party_Code","total_votes"
"101","ATTORNEY GENERAL","Jamar Osborne","GRN","14"
"101","ATTORNEY GENERAL","Jamie Balagia","LIB","82"
"101","ATTORNEY GENERAL","Ken Paxton","REP","234"
"101","ATTORNEY GENERAL","Sam Houston","DEM","1100"
"101","BOND PROPOSITION, DEL VALLE INDEPENDENT SCHOOL DISTRICT","Against","","273"
"101","BOND PROPOSITION, DEL VALLE INDEPENDENT SCHOOL DISTRICT","For","","662"
"101","CHIEF JUSTICE, 3RD COURT OF APPEALS DISTRICT","Diane Henson","DEM","1137"
"101","CHIEF JUSTICE, 3RD COURT OF APPEALS DISTRICT","Jeff Rose","REP","280"
"101","CHIEF JUSTICE, SUPREME COURT","Nathan Hecht","REP","233"
"101","CHIEF JUSTICE, SUPREME COURT","Tom Oxford","LIB","75"
"101","CHIEF JUSTICE, SUPREME COURT","William Moody","DEM","1115"
"101","COMMISSIONER OF AGRICULTURE","David (Rocky) Palmquist","LIB","73"
"101","COMMISSIONER OF AGRICULTURE","Jim Hogan","DEM","1088"
"101","COMMISSIONER OF AGRICULTURE","Kenneth Kendrick","GRN","40"
"101","COMMISSIONER OF AGRICULTURE","Sid Miller","REP","224"
"101","COMMISSIONER OF THE GENERAL LAND OFFICE","George P. Bush","REP","243"
"101","COMMISSIONER OF THE GENERAL LAND OFFICE","John Cook","DEM","1079"
"101","COMMISSIONER OF THE GENERAL LAND OFFICE","Justin Knight","LIB","61"
"101","COMMISSIONER OF THE GENERAL LAND OFFICE","Valerie Alessi","GRN","43"
"101","COMPTROLLER OF PUBLIC ACCOUNTS","Ben Sanders","LIB","66"
"101","COMPTROLLER OF PUBLIC ACCOUNTS","Deb Shafto","GRN","25"
"101","COMPTROLLER OF PUBLIC ACCOUNTS","Glenn Hegar","REP","232"
"101","COMPTROLLER OF PUBLIC ACCOUNTS","Mike Collier","DEM","1103"
"101","COUNTY CLERK","Dana DeBeauvoir","DEM","1165"
"101","COUNTY CLERK","Michael M. Holt","LIB","144"
"101","COUNTY CLERK","William E. Stout, Jr.","GRN","43"
"101","COUNTY COURT AT LAW 1, JUDGE","Todd Wong","DEM","1204"
"101","COUNTY COURT AT LAW 2, JUDGE","Eric Montgomery Shepperd","DEM","1207"
"101","COUNTY COURT AT LAW 3, JUDGE","John Lipscombe","DEM","1203"
"101","COUNTY COURT AT LAW 4, JUDGE","Mike Denton","DEM","1203"
"101","COUNTY COURT AT LAW 5, JUDGE","Nancy Hohengarten","DEM","1203"
"101","COUNTY COURT AT LAW 6, JUDGE","Brandy Mueller","DEM","1203"
"101","COUNTY COURT AT LAW 7, JUDGE","Elisabeth Earle","DEM","1206"
"101","COUNTY JUDGE","Mike McNamara","REP","234"
"101","COUNTY JUDGE","Richard Perkins","LIB","60"
"101","COUNTY JUDGE","Sarah Eckhardt","DEM","1131"
"101","COUNTY TREASURER","Dolores Ortega Carter","DEM","1185"
"101","COUNTY TREASURER","Mike Burris","LIB","163"
"101","DISTRICT 1, AUSTIN CITY COUNCIL, CITY OF AUSTIN","Andrew Bucknall","","6"
"101","DISTRICT 1, AUSTIN CITY COUNCIL, CITY OF AUSTIN","Christopher Hutchins","","8"
"101","DISTRICT 1, AUSTIN CITY COUNCIL, CITY OF AUSTIN","DeWayne Lofton","","36"
"101","DISTRICT 1, AUSTIN CITY COUNCIL, CITY OF AUSTIN","George Hindman","","15"
"101","DISTRICT 1, AUSTIN CITY COUNCIL, CITY OF AUSTIN","Michael Cargill","","8"
"101","DISTRICT 1, AUSTIN CITY COUNCIL, CITY OF AUSTIN","Norman A. Jacobson","","1"
"101","DISTRICT 1, AUSTIN CITY COUNCIL, CITY OF AUSTIN","Ora Houston","","89"
"101","DISTRICT 1, AUSTIN CITY COUNCIL, CITY OF AUSTIN","Sam Osemene","","7"
"101","DISTRICT 1, AUSTIN CITY COUNCIL, CITY OF AUSTIN","Valerie Menard","","26"
"101","DISTRICT 14, STATE SENATOR","James Arthur Strohm","LIB","163"
"101","DISTRICT 14, STATE SENATOR","Kirk Watson","DEM","1181"
"101","DISTRICT 35, UNITED STATES REPRESENTATIVE","Cory W. Bruner","LIB","47"
"101","DISTRICT 35, UNITED STATES REPRESENTATIVE","kat swift","GRN","13"
"101","DISTRICT 35, UNITED STATES REPRESENTATIVE","Lloyd Doggett","DEM","1147"
"101","DISTRICT 35, UNITED STATES REPRESENTATIVE","Susan Narvaiz","REP","224"
"101","DISTRICT 51, STATE REPRESENTATIVE","Arthur DiBianca","LIB","171"
"101","DISTRICT 51, STATE REPRESENTATIVE","Eddie Rodriguez","DEM","1163"
"101","DISTRICT CLERK","Kevin Pick","LIB","170"
"101","DISTRICT CLERK","Velva L. Price","DEM","1151"
"101","DISTRICT JUDGE, 147TH JUDICIAL DISTRICT","Cliff Brown","DEM","1218"
"101","DISTRICT JUDGE, 201ST JUDICIAL DISTRICT","Amy Clark Meachum","DEM","1216"
"101","DISTRICT JUDGE, 250TH JUDICIAL DISTRICT","Karin Crump","DEM","1215"
"101","DISTRICT JUDGE, 261ST JUDICIAL DISTRICT","Lora Livingston","DEM","1213"
